Pays,Dimension fractale,durée,box_min,box_max
NOR,1.481,25,1.00e-01,8.00e-01
GRL,1.433,242,1.00e-01,8.00e-01
CHL,1.426,50,1.00e-01,8.00e-01
PHL,1.371,3,1.00e-01,8.00e-01
CAN,1.335,711,1.00e-01,8.00e-01
SJM,1.331,3,1.00e-01,8.00e-01
BGD,1.314,3,4.31e-02,3.45e-01
KOR,1.311,3,3.76e-02,3.00e-01
CUB,1.309,6,3.94e-02,3.16e-01
IRL,1.304,10,2.00e-02,1.60e-01
FLK,1.292,12,4.80e-03,3.84e-02
GBR,1.286,4,1.00e-01,8.00e-01
GRC,1.274,3,5.99e-02,4.79e-01
MMR,1.269,5,1.00e-01,8.00e-01
DNK,1.268,3,1.71e-02,1.36e-01
HRV,1.268,3,2.15e-02,1.72e-01
FIN,1.262,5,1.00e-01,8.00e-01
USA,1.256,435,1.00e-01,8.00e-01
SWE,1.248,8,1.00e-01,8.00e-01
ISL,1.241,4,5.25e-02,4.20e-01
MDV,1.236,2,7.57e-02,6.06e-01
PRK,1.226,3,3.53e-02,2.82e-01
IDN,1.224,15,1.00e-01,8.00e-01
XPI,1.223,2,1.84e-03,1.47e-02
RUS,1.213,1069,1.00e-01,8.00e-01
AUS,1.212,101,1.00e-01,8.00e-01
LKA,1.21,2,1.91e-02,1.52e-01
MYS,1.208,3,1.00e-01,8.00e-01
GNB,1.197,8,4.12e-03,3.29e-02
JPN,1.195,6,1.00e-01,8.00e-01
EST,1.192,6,1.40e-02,1.12e-01
THA,1.191,3,1.00e-01,8.00e-01
PAN,1.189,7,1.18e-02,9.45e-02
SLB,1.183,3,7.68e-02,6.14e-01
NZL,1.18,29,1.00e-01,8.00e-01
VUT,1.175,2,6.40e-02,5.12e-01
TUR,1.174,4,1.00e-01,8.00e-01
ASM,1.169,2,1.37e-02,1.10e-01
TKL,1.168,3,1.03e-03,8.25e-03
FRA,1.166,3,1.00e-01,8.00e-01
BHS,1.164,3,5.02e-02,4.02e-01
ATF,1.161,2,1.00e-01,8.00e-01
ALA,1.158,16,1.38e-03,1.10e-02
ARE,1.157,3,1.47e-02,1.17e-01
DEU,1.156,3,7.53e-02,6.02e-01
CHN,1.156,121,1.00e-01,8.00e-01
ERI,1.154,2,3.96e-02,3.17e-01
CRI,1.154,2,4.06e-02,3.25e-01
XCA,1.149,2,1.00e-01,8.00e-01
PNG,1.148,3,1.00e-01,8.00e-01
MDA,1.148,3,1.14e-02,9.08e-02
ITA,1.144,3,1.00e-01,8.00e-01
GIN,1.142,2,3.75e-02,3.00e-01
UKR,1.141,3,1.00e-01,8.00e-01
MDG,1.14,3,1.00e-01,8.00e-01
SLE,1.139,2,1.18e-02,9.44e-02
VNM,1.138,3,1.00e-01,8.00e-01
FJI,1.135,4,1.00e-01,8.00e-01
TUN,1.133,2,6.66e-02,5.33e-01
UZB,1.129,2,9.89e-02,7.91e-01
MWI,1.128,2,7.48e-02,5.99e-01
NGA,1.126,2,1.00e-01,8.00e-01
BLZ,1.126,2,8.42e-03,6.74e-02
OMN,1.125,2,1.00e-01,8.00e-01
AFG,1.124,2,1.00e-01,8.00e-01
MEX,1.12,25,1.00e-01,8.00e-01
PAK,1.118,2,1.00e-01,8.00e-01
QAT,1.114,3,3.64e-03,2.91e-02
ARG,1.114,15,1.00e-01,8.00e-01
SAU,1.113,5,1.00e-01,8.00e-01
PRI,1.113,3,2.94e-03,2.35e-02
ATG,1.112,2,7.89e-04,6.31e-03
COG,1.112,3,9.47e-02,7.58e-01
KAZ,1.111,4,1.00e-01,8.00e-01
IND,1.109,26,1.00e-01,8.00e-01
NLD,1.107,3,9.95e-03,7.96e-02
HTI,1.105,5,5.31e-03,4.25e-02
TCA,1.102,4,7.66e-04,6.12e-03
SRB,1.102,2,1.95e-02,1.56e-01
PER,1.101,4,1.00e-01,8.00e-01
ZWE,1.101,2,5.76e-02,4.61e-01
STP,1.1,2,3.65e-03,2.92e-02
TZA,1.1,2,1.00e-01,8.00e-01
BHR,1.1,3,6.65e-04,5.32e-03
CPV,1.099,2,7.17e-03,5.74e-02
GAB,1.099,2,4.94e-02,3.95e-01
NIC,1.098,2,2.32e-02,1.85e-01
SLV,1.097,7,2.09e-03,1.67e-02
LTU,1.097,3,1.17e-02,9.37e-02
IRN,1.097,3,1.00e-01,8.00e-01
AUT,1.096,3,1.96e-02,1.57e-01
HND,1.096,2,2.44e-02,1.95e-01
KWT,1.096,3,3.02e-03,2.42e-02
BLR,1.095,3,3.12e-02,2.49e-01
MOZ,1.095,3,1.00e-01,8.00e-01
POL,1.094,3,4.23e-02,3.38e-01
KGZ,1.094,2,4.04e-02,3.23e-01
ECU,1.094,2,9.53e-02,7.63e-01
VEN,1.092,3,1.00e-01,8.00e-01
LAO,1.091,2,9.16e-02,7.33e-01
CIV,1.091,2,5.05e-02,4.04e-01
EGY,1.091,3,1.00e-01,8.00e-01
TJK,1.09,3,2.37e-02,1.90e-01
GUY,1.088,2,6.72e-02,5.37e-01
ZMB,1.086,2,1.00e-01,8.00e-01
LBR,1.085,2,2.19e-02,1.75e-01
COL,1.083,4,1.00e-01,8.00e-01
MLI,1.082,2,1.00e-01,8.00e-01
WLF,1.082,2,1.75e-03,1.40e-02
YEM,1.082,2,5.90e-02,4.72e-01
VCT,1.082,2,8.04e-04,6.43e-03
HUN,1.081,3,1.55e-02,1.24e-01
CMR,1.081,3,1.00e-01,8.00e-01
KHM,1.079,2,2.83e-02,2.27e-01
DOM,1.079,4,7.52e-03,6.02e-02
BEN,1.078,2,4.75e-02,3.80e-01
CAF,1.078,2,9.59e-02,7.67e-01
URY,1.078,2,2.97e-02,2.37e-01
CZE,1.077,3,1.54e-02,1.23e-01
CHE,1.076,4,6.94e-03,5.55e-02
BOL,1.075,2,1.00e-01,8.00e-01
VIR,1.075,2,6.85e-04,5.48e-03
NAM,1.075,2,1.00e-01,8.00e-01
BRA,1.074,41,1.00e-01,8.00e-01
ROU,1.072,3,3.01e-02,2.41e-01
BFA,1.07,2,4.01e-02,3.21e-01
GHA,1.067,2,5.14e-02,4.12e-01
JAM,1.067,4,2.81e-03,2.25e-02
TKM,1.067,2,7.30e-02,5.84e-01
NPL,1.067,3,2.23e-02,1.79e-01
COD,1.065,3,1.00e-01,8.00e-01
SUR,1.064,2,2.17e-02,1.74e-01
KEN,1.063,2,1.00e-01,8.00e-01
LSO,1.062,3,5.50e-03,4.40e-02
SDN,1.06,2,1.00e-01,8.00e-01
TTO,1.06,3,2.15e-03,1.72e-02
NCL,1.06,2,8.86e-02,7.09e-01
CCK,1.06,3,1.92e-04,1.54e-03
ESP,1.06,3,1.00e-01,8.00e-01
SSD,1.059,2,9.48e-02,7.59e-01
DZA,1.057,2,1.00e-01,8.00e-01
BEL,1.056,4,5.00e-03,4.00e-02
LBN,1.055,3,3.33e-03,2.66e-02
AZE,1.055,2,1.53e-02,1.22e-01
MAR,1.055,2,8.46e-02,6.77e-01
ZAF,1.052,3,1.00e-01,8.00e-01
RWA,1.052,3,3.99e-03,3.19e-02
BDI,1.051,3,5.79e-03,4.64e-02
GUF,1.05,2,1.63e-02,1.30e-01
DJI,1.05,2,4.01e-03,3.21e-02
ISR,1.05,2,1.86e-02,1.49e-01
GTM,1.049,2,2.07e-02,1.65e-01
GEO,1.046,2,1.52e-02,1.21e-01
LVA,1.046,2,1.78e-02,1.42e-01
IRQ,1.046,2,8.59e-02,6.88e-01
SEN,1.046,2,2.39e-02,1.91e-01
PRT,1.045,2,1.00e-01,8.00e-01
ALB,1.045,2,1.12e-02,9.00e-02
MNE,1.045,3,3.65e-03,2.92e-02
AGO,1.045,2,1.00e-01,8.00e-01
ARM,1.045,2,7.58e-03,6.07e-02
NER,1.044,2,1.00e-01,8.00e-01
GLP,1.043,6,5.80e-04,4.64e-03
BIH,1.042,2,9.12e-03,7.29e-02
BGR,1.041,3,1.32e-02,1.06e-01
UGA,1.041,2,4.06e-02,3.25e-01
LBY,1.041,2,1.00e-01,8.00e-01
BWA,1.041,2,1.00e-01,8.00e-01
PRY,1.041,2,8.58e-02,6.86e-01
CYM,1.04,2,9.70e-04,7.76e-03
BRN,1.04,3,1.30e-03,1.04e-02
SVN,1.04,4,3.45e-03,2.76e-02
MRT,1.039,2,1.00e-01,8.00e-01
FRO,1.039,3,1.24e-03,9.89e-03
SYR,1.038,2,3.11e-02,2.49e-01
GNQ,1.038,2,3.43e-02,2.74e-01
TCD,1.037,2,1.00e-01,8.00e-01
SVK,1.037,2,1.11e-02,8.86e-02
ESH,1.033,2,5.94e-02,4.75e-01
GRD,1.033,3,3.83e-04,3.06e-03
TLS,1.033,3,3.66e-03,2.93e-02
MTQ,1.032,12,2.99e-04,2.39e-03
COM,1.031,2,1.39e-03,1.11e-02
HMD,1.031,3,5.61e-04,4.49e-03
MNG,1.03,2,1.00e-01,8.00e-01
TGO,1.029,2,3.14e-02,2.51e-01
GMB,1.028,3,3.08e-03,2.47e-02
SGS,1.026,2,8.18e-02,6.55e-01
IOT,1.024,2,6.06e-03,4.85e-02
CYP,1.024,4,1.11e-03,8.92e-03
ZNC,1.023,5,1.36e-03,1.08e-02
BTN,1.023,3,3.85e-03,3.08e-02
MKD,1.022,3,2.73e-03,2.19e-02
CUW,1.022,9,2.13e-04,1.71e-03
ETH,1.021,2,1.00e-01,8.00e-01
GGY,1.02,8,1.40e-04,1.12e-03
SOM,1.019,2,1.00e-01,8.00e-01
XKO,1.018,3,2.43e-03,1.94e-02
LUX,1.017,5,6.69e-04,5.35e-03
JOR,1.017,2,2.17e-02,1.74e-01
DMA,1.017,5,2.34e-04,1.87e-03
WSM,1.017,4,6.66e-04,5.33e-03
LCA,1.014,7,2.02e-04,1.62e-03
SWZ,1.011,2,3.17e-03,2.54e-02
VGB,1.011,6,2.43e-04,1.95e-03
SPM,1.01,5,1.95e-04,1.56e-03
MLT,1.01,12,1.09e-04,8.73e-04
SGP,1.009,23,1.16e-04,9.24e-04
MYT,1.008,8,1.70e-04,1.36e-03
GUM,1.007,6,2.18e-04,1.74e-03
REU,1.007,8,3.33e-04,2.67e-03
SXM,1.006,66,1.00e-05,8.00e-05
VAT,1.005,2,1.00e-05,8.00e-05
BMU,1.005,12,6.60e-05,5.28e-04
KNA,1.005,6,1.31e-04,1.05e-03
XAD,1.004,3,4.54e-04,3.64e-03
AIA,1.004,3,2.31e-04,1.84e-03
GIB,1.003,9,1.00e-05,8.00e-05
BLM,1.003,114,1.01e-05,8.08e-05
IMN,1.003,11,1.81e-04,1.45e-03
JEY,1.003,33,3.68e-05,2.94e-04
ABW,1.003,16,5.56e-05,4.45e-04
PSE,1.003,2,2.19e-03,1.75e-02
BRB,1.002,9,1.05e-04,8.38e-04
NFK,1.001,11,2.41e-05,1.92e-04
MAF,1.001,92,1.14e-05,9.14e-05
BVT,1.001,57,1.39e-05,1.11e-04
AND,1.001,22,6.15e-05,4.92e-04
MSR,1.001,15,2.77e-05,2.22e-04
XCL,1.0,7,1.00e-05,8.00e-05
NRU,1.0,12,1.00e-05,8.00e-05
NIU,1.0,9,5.16e-05,4.13e-04
SMR,1.0,47,1.26e-05,1.01e-04
LIE,0.9997,9,6.17e-05,4.94e-04
CXR,0.9994,25,3.13e-05,2.50e-04
MCO,0.9986,6,1.00e-05,8.00e-05
TWN,0.9951,2,4.02e-02,3.21e-01
PLW,0.9375,2,3.26e-02,2.61e-01
TON,0.9256,2,5.71e-02,4.57e-01
PCN,0.9074,2,1.21e-02,9.65e-02
BES,0.8682,2,3.93e-02,3.14e-01
MHL,0.8467,2,1.00e-01,8.00e-01
XSP,0.8317,2,2.02e-03,1.62e-02
MUS,0.8218,2,1.00e-01,8.00e-01
TUV,0.7904,2,3.29e-02,2.63e-01
PYF,0.775,2,1.00e-01,8.00e-01
SYC,0.7225,2,5.27e-02,4.22e-01
MNP,0.7101,2,5.16e-02,4.13e-01
KIR,0.6319,4,1.00e-01,8.00e-01
FSM,0.594,2,1.00e-01,8.00e-01
SHN,0.5619,2,1.00e-01,8.00e-01
COK,0.5127,2,1.00e-01,8.00e-01
UMI,0.25,2,1.00e-01,8.00e-01
